"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2225","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 27 08:28:06 UTC 2026","passed","Tue Jan 27 08:28:08 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","10835","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Jan 27 08:27:48 UTC 2026","passed","Tue Jan 27 08:27:59 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2698","Успешная отправка простой формы регистрации","All Tests","Tue Jan 27 08:28:01 UTC 2026","passed","Tue Jan 27 08:28:03 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1992","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 27 08:28:25 UTC 2026","passed","Tue Jan 27 08:28:27 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","1702","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Jan 27 08:27:59 UTC 2026","passed","Tue Jan 27 08:28:01 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1703","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 27 08:28:15 UTC 2026","passed","Tue Jan 27 08:28:17 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2045","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 27 08:28:21 UTC 2026","passed","Tue Jan 27 08:28:23 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2002","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 27 08:28:17 UTC 2026","passed","Tue Jan 27 08:28:19 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2070","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 27 08:28:09 UTC 2026","passed","Tue Jan 27 08:28:11 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2089","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 27 08:28:23 UTC 2026","passed","Tue Jan 27 08:28:25 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка отправки формы с пройденной валидацией","2123","Успешная отправка формы регистрации с валидацией","All Tests","Tue Jan 27 08:28:04 UTC 2026","passed","Tue Jan 27 08:28:06 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2028","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 27 08:28:19 UTC 2026","passed","Tue Jan 27 08:28:21 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2011","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 27 08:28:27 UTC 2026","passed","Tue Jan 27 08:28:29 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2026","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 27 08:28:13 UTC 2026","passed","Tue Jan 27 08:28:15 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2051","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 27 08:28:11 UTC 2026","passed","Tue Jan 27 08:28:13 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
